Index,busmap
way/16200161-150,BE
way/16200352-150,BE
way/16578954-150,BE
way/16584741-380,BE
way/19783507-150,BE
way/19783816-380,BE
way/19796807-150,BE
way/23136343-380,BE
way/23136868-380,BE
way/23136911-150,BE
way/23136959-150,BE
way/23137001-150,BE
way/23141556-380,BE
way/23142331-150,BE
way/23148423-150,BE
way/23148735-150,BE
way/23151789-380,BE
way/23151857-150,BE
way/23154962-150,BE
way/23155326-150,BE
way/23155728-150,BE
way/23157099-150,BE
way/23157445-150,BE
way/23175771-380,BE
way/23176013-380,BE
way/23177624-150,BE
way/149260065-380,BE
way/23209679-150,BE
way/23210193-150,BE
way/23299076-150,BE
way/23407689-150,BE
way/24552827-220,BE
way/25066019-150,BE
way/27874760-150,BE
way/28583497-150,BE
way/31983791-150,BE
way/32002039-380,BE
way/33119136-150,BE
way/33814285-150,BE
way/917345402-220,BE
way/35139071-150,BE
way/36040861-150,BE
way/60606465-150,BE
way/82480435-150,BE
way/82508170-150,BE
way/87238504-150,BE
way/87533387-150,BE
way/87754416-150,BE
way/87761208-380,BE
way/87763325-380,BE
way/87767333-150,BE
way/87767368-150,BE
way/87772591-380,BE
way/87772593-380,BE
way/87779917-380,BE
way/87799210-150,BE
way/87807194-380,BE
way/88032731-150,BE
way/88075501-150,BE
way/88076913-150,BE
way/88093728-150,BE
way/88174817-150,BE
way/88732606-150,BE
way/88799384-380,BE
way/90113579-380,BE
way/90992674-150,BE
way/87308370-220,BE
way/91752661-220,BE
way/92007188-220,BE
way/92015823-220,BE
way/93056461-380,BE
way/93212889-150,BE
way/94155586-220,BE
way/97728063-150,BE
way/97728065-150,BE
way/98025322-150,BE
way/98025330-150,BE
way/98410713-380,BE
way/100645863-150,BE
way/101343831-150,BE
way/102024622-150,BE
way/102178947-150,BE
way/102676544-150,BE
way/103041283-220,BE
way/102678997-220,BE
way/103455268-150,BE
way/103728343-150,BE
way/103728353-150,BE
way/103728377-150,BE
way/104310860-150,BE
way/104524889-380,BE
way/107427392-150,BE
way/107429044-150,BE
way/107432111-150,BE
way/107897716-150,BE
way/108155912-150,BE
way/108155913-150,BE
way/114082368-220,BE
way/115017366-150,BE
way/115783467-150,BE
way/120344516-150,BE
way/121085952-380,BE
way/121085954-220,BE
way/124703985-380,BE
way/127074525-150,BE
way/129169154-150,BE
way/129553981-150,BE
way/130345737-150,BE
way/130586609-150,BE
way/133963047-150,BE
way/135193936-150,BE
way/135519638-150,BE
way/135529273-150,BE
way/136822245-150,BE
way/137185687-150,BE
way/138176302-150,BE
way/138245619-150,BE
way/138276343-150,BE
way/160838303-150,BE
way/160838314-150,BE
way/160838317-150,BE
way/160838318-150,BE
way/160976810-150,BE
way/160976853-150,BE
way/161224164-220,BE
way/167844341-150,BE
way/172525072-150,BE
way/926195529-150,BE
way/181519013-150,BE
way/194445834-150,BE
way/204165052-150,BE
way/204165053-150,BE
way/204165054-150,BE
way/204328239-150,BE
way/204468261-150,BE
way/204468266-150,BE
way/204804556-150,BE
way/204940265-220,BE
way/205278766-150,BE
way/205544915-150,BE
way/205691360-150,BE
way/205691361-150,BE
way/205830400-150,BE
way/207105353-150,BE
way/207154219-150,BE
way/222047619-150,BE
way/800316655-150,BE
way/222273708-150,BE
way/222275289-150,BE
way/222279201-150,BE
way/223068807-150,BE
way/223068816-150,BE
